,Source,Destination,Protocol,Length,Info
161,151.139.71.24,10.0.2.15,TCP,60,"80  >  53732 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
162,10.0.2.15,151.139.71.24,TCP,54,53732  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
163,10.0.2.15,151.139.71.24,HTTP,400,GET /filestreamingservice/files/682e80b4-34fd-41b9-b2ab-660765bf9878/pieceshash?cacheHostOrigin=msedge.f.dl.delivery.mp.microsoft.com HTTP/1.1 
164,151.139.71.24,10.0.2.15,TCP,60,80  >  53732 [ACK] Seq=1 Ack=347 Win=65535 Len=0
165,10.0.2.15,184.28.149.182,TCP,54,53731  >  443 [ACK] Seq=889 Ack=7010 Win=64240 Len=0
166,151.139.71.24,10.0.2.15,TCP,1440,"80  >  53732 [PSH, ACK] Seq=1 Ack=347 Win=65535 Len=1386 [TCP segment of a reassembled PDU]"
167,151.139.71.24,10.0.2.15,HTTP,1423,HTTP/1.1 200 OK 
168,10.0.2.15,151.139.71.24,TCP,54,53732  >  80 [ACK] Seq=347 Ack=2756 Win=64240 Len=0
169,10.0.2.15,169.237.250.250,DNS,101,Standard query 0xef47 A msedge.b.tlu.dl.delivery.mp.microsoft.com
170,169.237.250.250,10.0.2.15,DNS,543,Standard query response 0xef47 A msedge.b.tlu.dl.delivery.mp.microsoft.com CNAME cdp-f-tlu-net.trafficmanager.net CNAME wildcard.f.tlu.dl.delivery.mp.microsoft.com.edgesuite.net CNAME a1847.dscd.akamai.net A 184.27.199.89 A 23.43.171.48 NS n1dscd.akamai.net NS n4dscd.akamai.net NS n7dscd.akamai.net NS n2dscd.akamai.net NS n5dscd.akamai.net NS n0dscd.akamai.net NS n6dscd.akamai.net NS n3dscd.akamai.net A 23.40.199.216 A 88.221.81.192 A 23.40.199.210 A 23.217.138.180 A 23.209.85.75 A 23.40.199.215
171,10.0.2.15,151.139.71.24,TCP,66,53733  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
172,151.139.71.24,10.0.2.15,TCP,60,"80  >  53733 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
173,10.0.2.15,151.139.71.24,TCP,54,53733  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
174,10.0.2.15,151.139.71.24,HTTP,509,GET /filestreamingservice/files/682e80b4-34fd-41b9-b2ab-660765bf9878?P1=1715110320&P2=404&P3=2&P4=ABojxqPMDGTrGdn33j31WlfW9x%2bvFlkBiY%2bCYClfreDNhAHn%2bDq7shaC5p45Zz5cVMRYO7h4CMwMm1FPW1N51Q%3d%3d&cacheHostOrigin=msedge.b.tlu.dl.delivery.mp.microsoft.com HTTP/1.1 
175,151.139.71.24,10.0.2.15,TCP,60,80  >  53733 [ACK] Seq=1 Ack=456 Win=65535 Len=0
176,151.139.71.24,10.0.2.15,HTTP,850,HTTP/1.1 206 Partial Content 
177,10.0.2.15,151.139.71.24,HTTP,522,GET /filestreamingservice/files/682e80b4-34fd-41b9-b2ab-660765bf9878?P1=1715110320&P2=404&P3=2&P4=ABojxqPMDGTrGdn33j31WlfW9x%2bvFlkBiY%2bCYClfreDNhAHn%2bDq7shaC5p45Zz5cVMRYO7h4CMwMm1FPW1N51Q%3d%3d&cacheHostOrigin=msedge.b.tlu.dl.delivery.mp.microsoft.com HTTP/1.1 
178,151.139.71.24,10.0.2.15,TCP,60,80  >  53733 [ACK] Seq=797 Ack=924 Win=65535 Len=0
179,10.0.2.15,151.139.71.24,TCP,66,53734  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
180,151.139.71.24,10.0.2.15,TCP,1440,"80  >  53733 [PSH, ACK] Seq=797 Ack=924 Win=65535 Len=1386 [TCP segment of a reassembled PDU]"
181,151.139.71.24,10.0.2.15,TCP,1440,"80  >  53733 [PSH, ACK] Seq=2183 Ack=924 Win=65535 Len=1386 [TCP segment of a reassembled PDU]"
182,10.0.2.15,151.139.71.24,TCP,54,53733  >  80 [ACK] Seq=924 Ack=3569 Win=64240 Len=0
183,151.139.71.24,10.0.2.15,TCP,1514,80  >  53733 [ACK] Seq=3569 Ack=924 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
184,151.139.71.24,10.0.2.15,TCP,1514,80  >  53733 [ACK] Seq=5029 Ack=924 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
185,151.139.71.24,10.0.2.15,TCP,1514,80  >  53733 [ACK] Seq=6489 Ack=924 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
186,151.139.71.24,10.0.2.15,TCP,1514,80  >  53733 [ACK] Seq=7949 Ack=924 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
187,10.0.2.15,151.139.71.24,TCP,54,53733  >  80 [ACK] Seq=924 Ack=9409 Win=64240 Len=0
188,151.139.71.24,10.0.2.15,TCP,1514,80  >  53733 [ACK] Seq=9409 Ack=924 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
189,151.139.71.24,10.0.2.15,TCP,1514,80  >  53733 [ACK] Seq=10869 Ack=924 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
190,151.139.71.24,10.0.2.15,TCP,1514,80  >  53733 [ACK] Seq=12329 Ack=924 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
191,151.139.71.24,10.0.2.15,TCP,922,"80  >  53733 [PSH, ACK] Seq=13789 Ack=924 Win=65535 Len=868 [TCP segment of a reassembled PDU]"
192,10.0.2.15,151.139.71.24,TCP,54,53733  >  80 [ACK] Seq=924 Ack=14657 Win=64240 Len=0
193,151.139.71.24,10.0.2.15,TCP,60,"80  >  53734 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
194,10.0.2.15,151.139.71.24,TCP,54,53734  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
195,10.0.2.15,151.139.71.24,HTTP,523,GET /filestreamingservice/files/682e80b4-34fd-41b9-b2ab-660765bf9878?P1=1715110320&P2=404&P3=2&P4=ABojxqPMDGTrGdn33j31WlfW9x%2bvFlkBiY%2bCYClfreDNhAHn%2bDq7shaC5p45Zz5cVMRYO7h4CMwMm1FPW1N51Q%3d%3d&cacheHostOrigin=msedge.b.tlu.dl.delivery.mp.microsoft.com HTTP/1.1 
196,151.139.71.24,10.0.2.15,TCP,60,80  >  53734 [ACK] Seq=1 Ack=470 Win=65535 Len=0
197,151.139.71.24,10.0.2.15,TCP,1514,80  >  53733 [ACK] Seq=14657 Ack=924 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
198,151.139.71.24,10.0.2.15,TCP,1366,"80  >  53733 [PSH, ACK] Seq=16117 Ack=924 Win=65535 Len=1312 [TCP segment of a reassembled PDU]"
199,10.0.2.15,151.139.71.24,TCP,54,53733  >  80 [ACK] Seq=924 Ack=17429 Win=64240 Len=0
200,151.139.71.24,10.0.2.15,TCP,1514,80  >  53733 [ACK] Seq=17429 Ack=924 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
201,151.139.71.24,10.0.2.15,TCP,1514,80  >  53733 [ACK] Seq=18889 Ack=924 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
202,151.139.71.24,10.0.2.15,TCP,1514,80  >  53733 [ACK] Seq=20349 Ack=924 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
203,151.139.71.24,10.0.2.15,TCP,1514,80  >  53733 [ACK] Seq=21809 Ack=924 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
204,151.139.71.24,10.0.2.15,TCP,1514,80  >  53733 [ACK] Seq=23269 Ack=924 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
205,151.139.71.24,10.0.2.15,TCP,1514,80  >  53733 [ACK] Seq=24729 Ack=924 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
206,151.139.71.24,10.0.2.15,TCP,1514,80  >  53733 [ACK] Seq=26189 Ack=924 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
207,10.0.2.15,151.139.71.24,TCP,54,53733  >  80 [ACK] Seq=924 Ack=27649 Win=64240 Len=0
